,Country,Country_Code,0-250,250-500,500-750,750-1000,1000-1250,1250-
0,Angola,AGO,0.5552104124385703,0.4419784975092669,0.002076449573136982,0.0005669143422619546,0.0001408899548816692,2.6836181882222708e-05
1,Anguilla,AIA,0.6944444444444444,0.3055555555555556,0.0,0.0,0.0,0.0
2,United Arab Emirates,ARE,0.9684667253004984,0.03153327469950161,0.0,0.0,0.0,0.0
3,Bahrain,BHR,0.9668587896253602,0.03314121037463977,0.0,0.0,0.0,0.0
4,Bahamas,BHS,0.3846638040851679,0.5955997023775245,0.019669689730872804,6.622791155176028e-05,5.758948830587851e-07,0.0
5,Eritrea,ERI,0.9410682091346154,0.058931790865384616,0.0,0.0,0.0,0.0
6,Fiji,FJI,0.23833117588418218,0.7584903063577795,0.003178517758038358,0.0,0.0,0.0
7,Belize,BLZ,0.5049400612841902,0.49248183609517276,0.0025746304285553076,3.4721920816659576e-06,0.0,0.0
8,Brunei,BRN,0.09965986674682721,0.8965434884659413,0.0037966447872314142,0.0,0.0,0.0
9,New Zealand,NZL,0.9905272202882072,0.00947277971179282,0.0,0.0,0.0,0.0
10,Oman,OMN,0.9897501601537476,0.010249839846252402,0.0,0.0,0.0,0.0
11,Pakistan,PAK,0.7853366102344485,0.21466227567859036,1.1140869611718413e-06,0.0,0.0,0.0
12,China,CHN,0.496030912139705,0.49883993704353347,0.005120573641482651,8.577175278865411e-06,0.0,0.0
13,Côte d'Ivoire,CIV,0.15354212615791796,0.823555359505955,0.022567269519188353,0.0003352448169386855,0.0,0.0
14,Cameroon,CMR,0.31495660487495525,0.6848127872089476,0.00022580358451179582,4.323898426821622e-06,4.804331585357358e-07,0.0
15,Democratic Republic of the Congo,COD,0.615620952798422,0.38431130327362567,5.977405407559426e-05,7.9698738767459e-06,0.0,0.0
16,Republic of Congo,COG,0.7636295038671949,0.23637049613280514,0.0,0.0,0.0,0.0
17,Senegal,SEN,0.6455971840634315,0.35439698584015333,5.830096415219467e-06,0.0,0.0,0.0
18,Singapore,SGP,0.33568904593639576,0.6591465072030444,0.00502854036422941,0.0001359064963305246,0.0,0.0
19,Solomon Islands,SLB,0.18117702150324308,0.8130767457198161,0.005746232776940716,0.0,0.0,0.0
20,Haiti,HTI,0.4672437689679069,0.5279171744688986,0.004839056563194494,0.0,0.0,0.0
21,Indonesia,IDN,0.12956477902675964,0.8539424810442715,0.016396721883191714,9.229616300984611e-05,2.024181855893335e-06,1.6977009113944102e-06
22,India,IND,0.7972728157263773,0.2017559794261679,0.0009712048474547827,0.0,0.0,0.0
