,Country,Country_Code,c_total,c_avg
0,Angola,AGO,6853930.831145396,244.02694017208702
1,Anguilla,AIA,712.1139482197583,218.94444444444446
2,United Arab Emirates,ARE,766751.7074379617,104.10364116094986
3,Bahrain,BHR,6963.261213370571,117.39913544668588
4,Bahamas,BHS,41675362.59190886,278.5226902583925
5,Eritrea,ERI,1170073.3350960445,159.10432942708334
6,Fiji,FJI,14718937.87799333,301.43871728488745
7,Belize,BLZ,13506398.791874897,258.3992378538381
8,Brunei,BRN,3610858.0820157276,314.19375241922864
9,New Zealand,NZL,4605188.830661538,155.0691702426475
10,Oman,OMN,17494.73187025064,128.19859064702115
11,Pakistan,PAK,16919872.695272047,217.54011492921092
12,China,CHN,5231972.955339085,252.9874172838659
13,Côte d'Ivoire,CIV,1699796.995556672,316.9273577415086
14,Cameroon,CMR,53668407.95021657,272.2222671160318
15,Democratic Republic of the Congo,COD,5702425.095037483,240.52778895773974
16,Republic of Congo,COG,454716.1674698981,226.423787964535
17,Senegal,SEN,29957943.80592378,236.02682062979616
18,Singapore,SGP,194973.1111724755,279.07203044305516
19,Solomon Islands,SLB,16431015.943433736,312.4582312326965
20,Haiti,HTI,3940155.5314589576,262.14287762563623
21,Indonesia,IDN,943041490.0110742,324.95360389092156
22,India,IND,76515654.6387699,189.97062105336448
23,Jamaica,JAM,2909918.7419857085,297.88465705475454
24,Japan,JPN,276276.84693769424,268.46880780225325
25,Kenya,KEN,16357789.251986738,301.65056420696214
26,Puerto Rico,PRI,2390180.228794292,291.0949149186585
27,Saint Lucia,LCA,30123.74069990642,186.40091376356366
28,Somalia,SOM,1052262.3102422107,302.88713108941135
29,Myanmar,MMR,134888186.33458015,252.4821152921277
30,Martinique,MTQ,509728.8305293217,262.18167621030716
31,Mauritius,MUS,58564.59256128633,149.49851902483482
32,Malaysia,MYS,180218091.45763645,345.0641970672684
33,Mayotte,MYT,161352.3605105435,238.87625188640416
34,Nigeria,NGA,254139536.10595635,302.85279912009884
35,Nicaragua,NIC,17967798.679639414,242.26680449989345
36,São Tomé and Príncipe,STP,15222.192948056878,318.0
37,Suriname,SUR,27546630.325084165,340.9881443033711
38,French Polynesia,PYF,36649.9225169,293.946754194019
39,Qatar,QAT,39895.179827609754,87.14968152866243
40,Saudi Arabia,SAU,885434.3543063896,126.09292701279158
41,Tuvalu,TUV,3832.7260878269285,442.7608695652174
42,Taiwan,TWN,37188.732187431866,238.1420674405749
43,Tanzania,TZA,27777233.115357775,252.6391308890838
44,United States,USA,88482468.85493308,383.5395627563006
45,Saint Vincent and the Grenadines,VCT,7168.958807102751,225.52769679300292
46,Venezuela,VEN,73768741.51425749,259.4564519589018
47,Yemen,YEM,192236.56162397715,133.23371842071856
48,Aruba,ABW,8716.130260762404,198.16455696202533
49,Costa Rica,CRI,11183896.132392956,303.5563003362961
50,Cuba,CUB,102199525.50280224,291.2506445992024
51,Curaçao,CUW,9385.807398120009,209.1718426501035
52,American Samoa,ASM,6586.883043173209,204.32
53,French Southern Territories,ATF,137768.1470960499,204.24383561643836
54,Panama,PAN,46765915.290910766,305.9673558623659
55,Antigua and Barbuda,ATG,187320.69946684322,215.82542833263685
56,Australia,AUS,229228746.61500973,228.32564205208453
57,Benin,BEN,897240.2728344863,313.5114967175799
58,"Bonaire, Sint Eustatius and Saba",BES,38502.08389161018,209.27626262626262
59,Bangladesh,BGD,68314588.34775881,152.2536897546112
60,Egypt,EGY,28348.180732868896,140.93965150871227
61,Micronesia,FSM,1624929.030891601,186.64418360385918
62,Gabon,GAB,54668251.74263072,313.6846788326896
63,Ghana,GHA,5300408.926359937,297.8455785095431
64,Mozambique,MOZ,71874363.04654826,241.38124557345972
65,Bermuda,BMU,4341.631784915092,208.80620155038758
66,Brazil,BRA,351441965.5529776,308.77543661386767
67,Barbados,BRB,1954.8324584121465,180.47008547008548
68,Guyana,GUY,8219102.398346303,290.8744770013858
69,Mauritania,MRT,61553.924653891816,176.7115888830624
70,Cook Islands,COK,1247.0018805112927,356.2307692307692
71,Colombia,COL,82857843.02187102,297.5893696574856
72,Comoros,COM,25701.88638862568,269.4761441090555
73,Cayman Islands,CYM,1259315.3368369061,283.80006877439973
74,Djibouti,DJI,91441.70154096288,128.3587736464449
75,Dominica,DMA,293.5799366333445,229.0
76,Dominican Republic,DOM,6132600.093347451,321.8496696268977
77,Ecuador,ECU,38304524.47353156,252.80841291832226
78,Guinea,GIN,50105201.854253426,228.8021548699009
79,Guadeloupe,GLP,915944.3271472427,267.949682344776
80,Gambia,GMB,11508536.10075526,188.87072208153214
81,Guinea-Bissau,GNB,47805067.37955,178.94567383686166
82,Equatorial Guinea,GNQ,8837427.786331216,345.7245853531695
83,Grenada,GRD,45837.86228487966,238.7006769825919
84,Guatemala,GTM,8054243.760839526,323.4285238611433
85,French Guiana,GUF,18719310.602918994,294.66561493997864
86,Guam,GUM,20680.893396783395,399.4392857142857
87,Iran,IRN,1520940.244827023,148.262064732328
88,Sudan,SDN,105072.18257435733,150.05494223363286
89,Vietnam,VNM,54438366.16215391,295.85823830895083
90,Vanuatu,VUT,395821.9938225349,251.91995588576737
91,Honduras,HND,14329114.929642692,239.25746737777231
92,Sierra Leone,SLE,42572252.63369574,282.2706849229618
93,El Salvador,SLV,9426591.308900256,253.48419717469162
94,Liberia,LBR,5285406.042810278,290.4558498093526
95,Sri Lanka,LKA,3897564.2375234757,215.16331252885908
96,Cambodia,KHM,18329303.408051196,295.3559486269626
97,Kiribati,KIR,46546.16082949706,314.5634615384615
98,Saint Kitts and Nevis,KNA,7446.596136935084,218.15159574468086
99,Saint-Martin,MAF,292.998269758562,231.5
100,Madagascar,MDG,68803213.20975104,249.6610690989603
101,Maldives,MDV,25436.590307820326,266.619801980198
102,Mexico,MEX,227963903.82138357,229.8523002636722
103,Marshall Islands,MHL,7856.378846207877,241.61627906976744
104,New Caledonia,NCL,9651996.126564687,288.3608968362699
105,Peru,PER,1246055.7321983255,229.66875775420692
106,Philippines,PHL,89586469.26414083,317.57682710226527
107,Palau,PLW,1398306.8745685709,245.68940346927965
108,Papua New Guinea,PNG,130278086.56880468,288.9546798870771
109,Sint Maarten,SXM,1554.1802156888466,264.4153846153846
110,Seychelles,SYC,101364.24724846595,263.6906158357771
111,Turks and Caicos Islands,TCA,4487257.765150633,295.02823398186285
112,Wallis and Futuna,WLF,8205.265122995555,297.67785234899327
113,Samoa,WSM,50597.01954857549,218.6555023923445
114,Togo,TGO,13331.500624238373,281.8063872255489
115,Thailand,THA,82982180.07381245,331.069773533604
116,Timor-Leste,TLS,262833.70551613264,250.74294670846396
117,Tonga,TON,263904.72034067736,253.0577219086711
118,Trinidad and Tobago,TTO,2458239.2071510176,300.1735771986673
119,British Virgin Islands,VGB,22780.44168555449,232.95023041474656
120,"Virgin Islands, U.S.",VIR,56674.653454840634,217.86012526096033
121,South Africa,ZAF,528853.8134501519,199.93539695469642
