,Country,Country_Code,0-700,700-1400,1400-2100,2100-2800,2800-3500,3500-
0,Angola,AGO,1.0,0.0,0.0,0.0,0.0,0.0
1,Anguilla,AIA,1.0,0.0,0.0,0.0,0.0,0.0
2,United Arab Emirates,ARE,1.0,0.0,0.0,0.0,0.0,0.0
3,Bahrain,BHR,1.0,0.0,0.0,0.0,0.0,0.0
4,Bahamas,BHS,0.9906225740092743,0.009244968336861697,0.0001002070946623021,1.8428890972377396e-05,6.910834114641523e-06,6.910834114641523e-06
5,Eritrea,ERI,1.0,0.0,0.0,0.0,0.0,0.0
6,Fiji,FJI,1.0,0.0,0.0,0.0,0.0,0.0
7,Belize,BLZ,0.9012508571974202,0.09874914280257983,0.0,0.0,0.0,0.0
8,Brunei,BRN,0.9793119919619842,0.020688008038015862,0.0,0.0,0.0,0.0
9,New Zealand,NZL,1.0,0.0,0.0,0.0,0.0,0.0
10,Oman,OMN,1.0,0.0,0.0,0.0,0.0,0.0
11,Pakistan,PAK,1.0,0.0,0.0,0.0,0.0,0.0
12,China,CHN,0.8893973247790306,0.11060267522096948,0.0,0.0,0.0,0.0
13,Côte d'Ivoire,CIV,0.9946713718570799,0.0053286281429201585,0.0,0.0,0.0,0.0
14,Cameroon,CMR,0.9897187304073353,0.010281269592664746,0.0,0.0,0.0,0.0
15,Democratic Republic of the Congo,COD,1.0,0.0,0.0,0.0,0.0,0.0
16,Republic of Congo,COG,1.0,0.0,0.0,0.0,0.0,0.0
17,Senegal,SEN,0.999238443655762,0.0007615563442380428,0.0,0.0,0.0,0.0
18,Singapore,SGP,0.9877684153302528,0.012231584669747214,0.0,0.0,0.0,0.0
19,Solomon Islands,SLB,0.9991688963479697,0.0008311036520303058,0.0,0.0,0.0,0.0
20,Haiti,HTI,0.9996893445169307,0.00031065548306927616,0.0,0.0,0.0,0.0
21,Indonesia,IDN,0.9846547099985671,0.015345290001432924,0.0,0.0,0.0,0.0
22,India,IND,0.9787533128558893,0.021245348165644135,8.926523110322007e-07,2.2316307775805016e-07,2.2316307775805016e-07,0.0
23,Jamaica,JAM,0.9999536998453575,4.6300154642516505e-05,0.0,0.0,0.0,0.0
24,Japan,JPN,0.8169665377501261,0.18303346224987388,0.0,0.0,0.0,0.0
25,Kenya,KEN,1.0,0.0,0.0,0.0,0.0,0.0
26,Puerto Rico,PRI,0.976351016906273,0.02364898309372697,0.0,0.0,0.0,0.0
27,Saint Lucia,LCA,0.9897201599086236,0.010279840091376356,0.0,0.0,0.0,0.0
28,Somalia,SOM,1.0,0.0,0.0,0.0,0.0,0.0
29,Myanmar,MMR,0.9348327521665776,0.0651632902211703,3.957612252079252e-06,0.0,0.0,0.0
30,Martinique,MTQ,0.956793336803748,0.04320666319625195,0.0,0.0,0.0,0.0
31,Mauritius,MUS,1.0,0.0,0.0,0.0,0.0,0.0
32,Malaysia,MYS,0.9533507158933711,0.0466492841066289,0.0,0.0,0.0,0.0
33,Mayotte,MYT,1.0,0.0,0.0,0.0,0.0,0.0
34,Nigeria,NGA,0.9852243994854013,0.014775600514598733,0.0,0.0,0.0,0.0
35,Nicaragua,NIC,0.9936030926486038,0.006396907351396215,0.0,0.0,0.0,0.0
36,São Tomé and Príncipe,STP,1.0,0.0,0.0,0.0,0.0,0.0
37,Suriname,SUR,0.959120828226312,0.040879171773688,0.0,0.0,0.0,0.0
38,French Polynesia,PYF,1.0,0.0,0.0,0.0,0.0,0.0
39,Qatar,QAT,1.0,0.0,0.0,0.0,0.0,0.0
40,Saudi Arabia,SAU,1.0,0.0,0.0,0.0,0.0,0.0
41,Tuvalu,TUV,1.0,0.0,0.0,0.0,0.0,0.0
42,Taiwan,TWN,0.9856274184632393,0.014372581536760642,0.0,0.0,0.0,0.0
43,Tanzania,TZA,0.9999948611834352,4.282347137336585e-06,0.0,0.0,8.564694274673171e-07,0.0
44,United States,USA,0.9697785146120408,0.03022074161178528,3.718880869742107e-07,3.718880869742107e-07,0.0,0.0
45,Saint Vincent and the Grenadines,VCT,0.9795918367346939,0.02040816326530612,0.0,0.0,0.0,0.0
46,Venezuela,VEN,0.9521990842796961,0.047800915720303906,0.0,0.0,0.0,0.0
47,Yemen,YEM,1.0,0.0,0.0,0.0,0.0,0.0
48,Aruba,ABW,1.0,0.0,0.0,0.0,0.0,0.0
49,Costa Rica,CRI,0.989954363454132,0.010045636545868035,0.0,0.0,0.0,0.0
50,Cuba,CUB,0.9598977488100142,0.040098983897020955,3.0159627367750664e-06,2.5133022806458885e-07,0.0,0.0
51,Curaçao,CUW,1.0,0.0,0.0,0.0,0.0,0.0
52,American Samoa,ASM,0.9942857142857143,0.005714285714285714,0.0,0.0,0.0,0.0
53,French Southern Territories,ATF,1.0,0.0,0.0,0.0,0.0,0.0
54,Panama,PAN,0.9928243288951755,0.007175671104824575,0.0,0.0,0.0,0.0
55,Antigua and Barbuda,ATG,0.9960300877559549,0.003969912244045131,0.0,0.0,0.0,0.0
