,Country,Country_Code,c_total,c_avg
0,Angola,AGO,8527472.957115527,303.60336626356485
1,Anguilla,AIA,719.0170428105491,221.06671820746527
2,United Arab Emirates,ARE,792494.0520104304,107.59057035322589
3,Bahrain,BHR,7244.759204495484,122.14483435902883
4,Bahamas,BHS,42482127.40210343,283.893096679115
5,Eritrea,ERI,1350253.344461508,183.6516266847268
6,Fiji,FJI,17272327.54262739,353.74777164830147
7,Belize,BLZ,13929726.364686836,266.4927264662687
8,Brunei,BRN,4862511.844511469,423.1051726196849
9,New Zealand,NZL,5950863.797879409,200.38825808278753
10,Oman,OMN,18999.83332901652,139.1237112628123
11,Pakistan,PAK,17478346.936507884,224.72372782758055
12,China,CHN,5706517.832046477,275.9452015495471
13,Côte d'Ivoire,CIV,1900220.850660732,354.298918173798
14,Cameroon,CMR,71510578.3705374,362.72365700915947
15,Democratic Republic of the Congo,COD,6569152.711674354,277.08657275498615
16,Republic of Congo,COG,659400.0668553044,328.3431678574797
17,Senegal,SEN,31586480.2214316,248.85610074042225
18,Singapore,SGP,228511.75588972532,327.077305313944
19,Solomon Islands,SLB,20851664.932970278,396.5188313677285
20,Haiti,HTI,4058089.7246028306,269.9842876748184
21,Indonesia,IDN,1212353603.4324718,417.7699307565299
22,India,IND,88005325.70834096,218.2769155428784
23,Jamaica,JAM,3076178.9045564714,314.9045603337315
24,Japan,JPN,335772.63505507977,326.2661278139188
25,Kenya,KEN,17373597.061312754,320.37704275800314
26,Puerto Rico,PRI,2461203.5001488565,299.74271264148143
27,Saint Lucia,LCA,35048.05949996054,216.87222926185038
28,Somalia,SOM,1096591.200917298,315.6817396210867
29,Myanmar,MMR,160789102.39990333,300.85269321831953
30,Martinique,MTQ,557316.5101829998,286.6593511901945
31,Mauritius,MUS,81139.44113378099,207.14260304525519
32,Malaysia,MYS,219580411.42180485,420.43256196325893
33,Mayotte,MYT,208681.98847642087,308.9477294553437
34,Nigeria,NGA,285816793.92370594,340.6026453238789
35,Nicaragua,NIC,19714478.73151911,265.8243927891787
36,São Tomé and Príncipe,STP,21404.429675932457,447.1502976190476
37,Suriname,SUR,30484523.390348684,377.35386106163276
38,French Polynesia,PYF,42959.187097158436,344.5819692799508
39,Qatar,QAT,43489.07973775975,94.99967728432934
40,Saudi Arabia,SAU,944536.078215195,134.35470018465776
41,Tuvalu,TUV,4264.84854327211,492.68210767663044
42,Taiwan,TWN,43162.35531480815,276.3941814365672
43,Tanzania,TZA,35908475.71224254,326.70885863458216
44,United States,USA,91582995.11440414,396.97082061003954
45,Saint Vincent and the Grenadines,VCT,8196.875515974803,257.8901466836735
46,Venezuela,VEN,95583415.37589337,336.1551288080712
47,Yemen,YEM,209778.21206458524,145.4000320928539
48,Aruba,ABW,9177.667686248049,208.6576509757384
49,Costa Rica,CRI,13109940.588678151,355.8261503417653
50,Cuba,CUB,106834326.83720629,304.456111830029
51,Curaçao,CUW,10039.37642546108,223.73706004140786
52,American Samoa,ASM,8788.86940709173,272.62111607142856
53,French Southern Territories,ATF,189331.53097574576,280.6875081539465
54,Panama,PAN,57549658.29743045,376.52053035922944
55,Antigua and Barbuda,ATG,195281.0431464144,225.00010447137484
56,Australia,AUS,280636815.35131204,279.4123450130386
57,Benin,BEN,915187.0854215175,319.78228812720613
58,"Bonaire, Sint Eustatius and Saba",BES,41638.868824729056,226.3261047979798
59,Bangladesh,BGD,101113471.57318886,225.37026975889094
60,Egypt,EGY,31980.573428835778,159.12582341691459
61,Micronesia,FSM,2387317.687698097,274.2106474212515
62,Gabon,GAB,68886269.75428553,395.2681750158442
63,Ghana,GHA,5722667.933300249,321.5566081405278
64,Mozambique,MOZ,82204777.03066431,275.99137391469196
65,Bermuda,BMU,4787.883745547561,230.26798691860466
66,Brazil,BRA,393384050.3137348,345.4147643189757
67,Barbados,BRB,2185.1998802728685,201.7376469017094
68,Guyana,GUY,9876195.657936357,349.55548688422743
69,Mauritania,MRT,64726.74340128426,185.81920151292934
70,Cook Islands,COK,1353.1687657995337,386.6513108473558
71,Colombia,COL,97274561.75356205,349.22253126897067
72,Comoros,COM,38349.337734618035,402.11563945350537
73,Cayman Islands,CYM,1332586.0860209884,300.3119962022372
74,Djibouti,DJI,113279.10867639196,159.02418868232223
75,Dominica,DMA,308.96191709893696,240.99834333147322
76,Dominican Republic,DOM,6502320.168020326,341.2570080482755
77,Ecuador,ECU,43732696.60448809,288.63374947743483
78,Guinea,GIN,55775143.74753476,254.68889468274125
79,Guadeloupe,GLP,966843.4365867453,282.83836996489777
80,Gambia,GMB,12993610.400274884,213.2459999423415
81,Guinea-Bissau,GNB,56135468.821054555,210.12219145766608
82,Equatorial Guinea,GNQ,10146781.38521155,396.9458734833816
83,Grenada,GRD,51146.00257956545,266.3374287883825
84,Guatemala,GTM,9002318.576645754,361.50154554501967
85,French Guiana,GUF,22129730.347213432,348.3368798127105
86,Guam,GUM,23019.23074575666,444.60184151785717
87,Iran,IRN,1621271.8003921055,158.04732220435392
88,Sudan,SDN,109775.10233542563,156.76336386292522
89,Vietnam,VNM,60178784.39919849,327.0250486233622
90,Vanuatu,VUT,480880.77605692414,306.06170188065937
91,Honduras,HND,15702625.308869427,262.1768377500461
92,Sierra Leone,SLE,46937935.17398849,311.2162282940085
93,El Salvador,SLV,10623037.315021304,285.65498656983686
94,Liberia,LBR,5579687.31009445,306.6347380887601
95,Sri Lanka,LKA,4218701.9153303765,232.8899726511632
96,Cambodia,KHM,21284721.03390126,342.97707374541335
97,Kiribati,KIR,55569.780845646164,375.54734575320515
98,Saint Kitts and Nevis,KNA,7646.959462495266,224.0209025930851
99,Saint-Martin,MAF,297.7717370580694,235.27139718191964
100,Madagascar,MDG,85776103.34918754,310.93847918404856
101,Maldives,MDV,29851.44729880864,312.90527440439354
102,Mexico,MEX,239339135.3024404,241.22699044643988
103,Marshall Islands,MHL,10096.150594111477,310.50288710483284
104,New Caledonia,NCL,10904899.946963679,325.78697008640455
105,Peru,PER,1332876.7867344003,245.67104845341797
106,Philippines,PHL,102004702.30620164,361.59203523383036
107,Palau,PLW,1890353.6077072378,332.1469724946103
108,Papua New Guinea,PNG,178636096.52678984,396.2708147575885
109,Sint Maarten,SXM,1590.944599420074,270.67007211538464
110,Seychelles,SYC,124989.6795817589,325.2653980422929
111,Turks and Caicos Islands,TCA,4588226.168115537,301.6661418786636
112,Wallis and Futuna,WLF,9417.837151844302,341.668519295302
113,Samoa,WSM,66366.47046965762,286.80452551834134
114,Togo,TGO,13763.872487359993,290.9460142215569
115,Thailand,THA,96344484.83173041,384.3628902722806
116,Timor-Leste,TLS,338768.95620164886,323.20365190860457
117,Tonga,TON,306658.49909159244,294.0689856977937
