,Country,Country_Code,0-700,700-1400,1400-2100,2100-2800,2800-3500,3500-
0,Angola,AGO,0.0010835108434947417,0.2670233642508512,0.6372217842706429,0.09466127706680533,1.0063568205833515e-05,0.0
1,Anguilla,AIA,0.0,0.3611111111111111,0.6388888888888888,0.0,0.0,0.0
2,United Arab Emirates,ARE,0.0006684256816182938,0.5873233655819408,0.40800938141307536,0.003998827323365582,0.0,0.0
3,Bahrain,BHR,0.0,0.8256484149855908,0.17435158501440923,0.0,0.0,0.0
4,Bahamas,BHS,0.0,0.0008068287311653579,0.23307502528178536,0.765027401078536,0.0010907449085133388,0.0
5,Eritrea,ERI,0.00016276041666666666,0.6395733173076923,0.32092598157051283,0.038474058493589744,0.0008638822115384615,0.0
6,Fiji,FJI,0.0,0.07959127497805353,0.8232435388117663,0.09716518621018018,0.0,0.0
7,Belize,BLZ,1.2152672285830853e-05,0.6573102664039374,0.3404657945677555,0.002211786356021215,0.0,0.0
8,Brunei,BRN,0.0,0.0004200192714724558,0.45044184380224506,0.5490969585663342,4.117835994827998e-05,0.0
9,New Zealand,NZL,0.0002388313876363221,0.4285232172664709,0.569005397070162,0.002232554275730837,0.0,0.0
10,Oman,OMN,0.0019218449711723255,0.9064702114029468,0.09160794362588084,0.0,0.0,0.0
11,Pakistan,PAK,0.03947432920824068,0.9509445229256814,0.009581147866077834,0.0,0.0,0.0
12,China,CHN,0.032777675328184167,0.9390248609425458,0.028111691976481386,8.577175278865411e-05,0.0,0.0
13,Côte d'Ivoire,CIV,0.0008292898103220115,0.7910189677988531,0.20811645346272606,3.5288928098809e-05,0.0,0.0
14,Cameroon,CMR,0.0,0.17874996096480586,0.6389083597771751,0.17833967104741635,0.004002008210602679,0.0
15,Democratic Republic of the Congo,COD,0.0,0.12841060790212994,0.8310386738129869,0.040550718284883144,0.0,0.0
16,Republic of Congo,COG,0.0,0.0,0.7895208451235616,0.2104791548764384,0.0,0.0
17,Senegal,SEN,0.003955720417726408,0.9330901697286819,0.06294026337460555,1.3846478986146234e-05,0.0,0.0
18,Singapore,SGP,0.0,0.0023104104376189183,0.6167436803479206,0.3809459092144605,0.0,0.0
19,Solomon Islands,SLB,0.0,0.010446883540036854,0.4960884508764122,0.4919525931327603,0.001512072450790621,0.0
20,Haiti,HTI,0.0013800272420962077,0.24694721246445384,0.7262288814012952,0.025443878892154756,0.0,0.0
21,Indonesia,IDN,1.6650528169445176e-06,0.0202579467175916,0.4448590498509957,0.5299784107945831,0.004899564830284268,3.362753728338928e-06
22,India,IND,0.5756151707910142,0.2957115682280332,0.1029073213491892,0.0257567899537428,9.149678020598826e-06,0.0
23,Jamaica,JAM,3.704012371401321e-05,0.312739024548342,0.6741858117806113,0.013038123547332648,0.0,0.0
24,Japan,JPN,0.0,0.25651589036488986,0.7432318816209854,0.0002522280141247688,0.0,0.0
25,Kenya,KEN,0.0014271323035594358,0.5502364562346094,0.4263715161182001,0.021964895343631073,0.0,0.0
26,Puerto Rico,PRI,2.1999054040676252e-05,0.2644616281499895,0.7087545235554871,0.02676184924048266,0.0,0.0
27,Saint Lucia,LCA,0.0,0.0759565962307253,0.9240434037692747,0.0,0.0,0.0
28,Somalia,SOM,0.00430963940865201,0.9399378102667613,0.055752550324586765,0.0,0.0,0.0
29,Myanmar,MMR,0.02589396868496288,0.7733554615479254,0.20027703285764556,0.00047353690946617835,0.0,0.0
30,Martinique,MTQ,0.0,0.049264114334390235,0.941697032795419,0.009038852870190715,0.0,0.0
31,Mauritius,MUS,0.0,0.4331282752335384,0.5618591934381408,0.005012531328320802,0.0,0.0
32,Malaysia,MYS,1.8123194590008937e-07,0.016104633176573742,0.6535222156837763,0.32928829671149196,0.0010843107323202346,3.6246389180017875e-07
33,Mayotte,MYT,0.0,0.1622993551927562,0.79654273562903,0.04115790917821375,0.0,0.0
34,Nigeria,NGA,2.2552315451865522e-07,0.1436179935453018,0.8305349104768924,0.025846757693074037,1.1276157725932761e-07,0.0
35,Nicaragua,NIC,0.0006754575851269723,0.49822598916526156,0.4777990052578516,0.023299547991759918,0.0,0.0
36,São Tomé and Príncipe,STP,0.0,0.0,0.4880952380952381,0.5119047619047619,0.0,0.0
37,Suriname,SUR,0.004591641014605301,0.7582301013295408,0.23607654450359752,0.0011005436053855295,1.1695468707603927e-06,0.0
38,French Polynesia,PYF,0.0,0.0,1.0,0.0,0.0,0.0
39,Qatar,QAT,0.0,0.4640314724615961,0.5324091420007493,0.0035593855376545524,0.0,0.0
40,Saudi Arabia,SAU,0.013569099573614246,0.7897667419112114,0.195422623526461,0.0012415349887133183,0.0,0.0
41,Tuvalu,TUV,0.0,0.0,1.0,0.0,0.0,0.0
42,Taiwan,TWN,0.003869541182974019,0.6058595909342178,0.3902708678828082,0.0,0.0,0.0
43,Tanzania,TZA,0.0004924699207937074,0.6050040082769206,0.3885407816482583,0.005961883684599994,8.564694274673171e-07,0.0
44,United States,USA,2.231328521845264e-06,0.033847394235957784,0.8124348963417741,0.15368870215148414,2.677594226214317e-05,0.0
45,Saint Vincent and the Grenadines,VCT,0.0,0.5102040816326531,0.478134110787172,0.011661807580174927,0.0,0.0
46,Venezuela,VEN,0.00042212889835873123,0.37023928753328006,0.6070881463046777,0.02225043726368349,0.0,0.0
47,Yemen,YEM,0.002031230163767932,0.8776818585755999,0.12028691126063222,0.0,0.0,0.0
48,Aruba,ABW,0.0,0.43037974683544306,0.5675105485232067,0.002109704641350211,0.0,0.0
49,Costa Rica,CRI,4.8333019592679834e-05,0.48354896643653367,0.5121086933295346,0.004294007214339135,0.0,0.0
50,Cuba,CUB,0.00014049359748810516,0.08339539095547961,0.8673853538314916,0.049077253634172265,1.5079813683875332e-06,0.0
51,Curaçao,CUW,0.0,0.9648033126293996,0.035196687370600416,0.0,0.0,0.0
52,American Samoa,ASM,0.0,0.0,0.9485714285714286,0.03428571428571429,0.014285714285714285,0.002857142857142857
53,French Southern Territories,ATF,0.0,0.8524461839530333,0.14755381604696674,0.0,0.0,0.0
54,Panama,PAN,9.224808585221857e-06,0.24356631099904677,0.6240410811475662,0.13238338304480182,0.0,0.0
55,Antigua and Barbuda,ATG,0.0,0.11596322607605516,0.8829920601755119,0.0010447137484329294,0.0,0.0
56,Australia,AUS,0.004217553927428939,0.6844593505689852,0.2717842408226282,0.03950307201022424,3.578267073338984e-05,0.0
57,Benin,BEN,0.0,0.04074159601491109,0.9592584039850889,0.0,0.0,0.0
58,"Bonaire, Sint Eustatius and Saba",BES,0.0,0.16464646464646465,0.32323232323232326,0.5116161616161616,0.000505050505050505,0.0
59,Bangladesh,BGD,0.5188397257896734,0.4771091450413515,0.004051129168975107,0.0,0.0,0.0
60,Egypt,EGY,0.024224394390140246,0.9434764130896728,0.032299192520186995,0.0,0.0,0.0
61,Micronesia,FSM,0.0,1.0828253077930937e-05,0.9268768069647324,0.07301491050448831,9.745427770137843e-05,0.0
62,Gabon,GAB,0.0,0.05181095290824912,0.7104627869667193,0.17238384005719717,0.06534078524034144,1.6348274930029382e-06
63,Ghana,GHA,0.05567035500475429,0.8134299419392195,0.12715470302946597,0.003745000026560284,0.0,0.0
64,Mozambique,MOZ,0.06685694786729858,0.8888101611374407,0.04408235071090048,0.0002505402843601896,0.0,0.0
65,Bermuda,BMU,0.0,0.0,1.0,0.0,0.0,0.0
66,Brazil,BRA,0.005153559196974109,0.6440909685466698,0.34709547784895584,0.003659911725558462,8.268184176117614e-08,0.0
67,Barbados,BRB,0.0,0.7094017094017094,0.2905982905982906,0.0,0.0,0.0
68,Guyana,GUY,0.00027648971325018655,0.34290387485342716,0.6548908698433002,0.0019287655900223856,0.0,0.0
69,Mauritania,MRT,0.0,0.983744100681699,0.016255899318300997,0.0,0.0,0.0
70,Cook Islands,COK,0.0,0.0,1.0,0.0,0.0,0.0
71,Colombia,COL,0.0,0.06325706640530279,0.7275949719107315,0.20899161815551942,0.00015634352844621325,0.0
72,Comoros,COM,0.0,0.0029211295034079843,0.6864654333008764,0.3047711781888997,0.005842259006815969,0.0
73,Cayman Islands,CYM,0.0,0.0,0.7273904160851185,0.27260958391488155,0.0,0.0
74,Djibouti,DJI,0.0,0.8172211350293542,0.182648401826484,0.0001304631441617743,0.0,0.0
75,Dominica,DMA,0.0,0.0,1.0,0.0,0.0,0.0
76,Dominican Republic,DOM,0.0022637985596581666,0.21605599128437555,0.7131248437743182,0.06855536638164814,0.0,0.0
77,Ecuador,ECU,9.081707812022427e-05,0.35332666088777764,0.6256545092871423,0.02087101720138092,5.699554557889937e-05,0.0
78,Guinea,GIN,0.01567092677004882,0.9643296968889242,0.019995959031585762,3.4173094412143753e-06,0.0,0.0
79,Guadeloupe,GLP,0.0,0.009663125300304309,0.853104479205595,0.13723239549410068,0.0,0.0
80,Gambia,GMB,0.03327653466413172,0.9487780193702176,0.017945445965650713,0.0,0.0,0.0
81,Guinea-Bissau,GNB,0.003100053873099772,0.8953078863322866,0.09701058273839021,0.0045814770562233875,0.0,0.0
82,Equatorial Guinea,GNQ,3.7146412585204585e-06,0.2168124663360636,0.6638955442878104,0.11664716480005943,0.002641109934808046,0.0
83,Grenada,GRD,0.0,0.3467117988394584,0.6532882011605415,0.0,0.0,0.0
84,Guatemala,GTM,0.050334266888154705,0.6979980983599279,0.2433285360701165,0.00833909868180086,0.0,0.0
85,French Guiana,GUF,0.026149727365044954,0.8121707460161943,0.16130132192961819,0.00037820468914254743,0.0,0.0
86,Guam,GUM,0.0,0.0,1.0,0.0,0.0,0.0
87,Iran,IRN,0.0005308648119577299,0.7138058030159757,0.2853978997660877,0.00026543240597886496,0.0,0.0
88,Sudan,SDN,0.0,0.8985879332477535,0.10141206675224647,0.0,0.0,0.0
89,Vietnam,VNM,0.011109004873140055,0.9739126182364133,0.01490779551162929,7.058137881731825e-05,0.0,0.0
90,Vanuatu,VUT,0.0,0.0599024843278384,0.9136289760854424,0.026468539586719294,0.0,0.0
91,Honduras,HND,0.0035150546393495534,0.514630435116733,0.47153528118900145,0.010319229054916005,0.0,0.0
92,Sierra Leone,SLE,0.0007023891210779116,0.9239273906805564,0.07500779739255194,0.0003624228058137359,0.0,0.0
93,El Salvador,SLV,0.03600278551532034,0.7336326104257859,0.22909122562674095,0.0012733784321528054,0.0,0.0
94,Liberia,LBR,0.00041558009786911307,0.9669250189608419,0.03265940094128892,0.0,0.0,0.0
95,Sri Lanka,LKA,0.0002697837061017811,0.65009053318599,0.3482285067990682,0.0014111763088400858,0.0,0.0
96,Cambodia,KHM,0.00026140216723428994,0.870267907175189,0.12945266292190535,1.802773567133034e-05,0.0,0.0
97,Kiribati,KIR,0.0,0.0,1.0,0.0,0.0,0.0
98,Saint Kitts and Nevis,KNA,0.0,0.5425531914893617,0.4574468085106383,0.0,0.0,0.0
99,Saint-Martin,MAF,0.0,0.0,1.0,0.0,0.0,0.0
100,Madagascar,MDG,0.012596593330056397,0.8437935820742084,0.14182745308300357,0.0017823715127316265,0.0,0.0
101,Maldives,MDV,0.0,0.0,1.0,0.0,0.0,0.0
102,Mexico,MEX,0.049755509450941614,0.7125933683584216,0.21637051886023093,0.02127898576479356,1.6175656122804862e-06,0.0
103,Marshall Islands,MHL,0.0,0.0,1.0,0.0,0.0,0.0
104,New Caledonia,NCL,1.0599648621648192e-05,0.7536827154179839,0.2455885587392778,0.000718126194116665,0.0,0.0
105,Peru,PER,0.0,0.5590018697467979,0.44099813025320217,0.0,0.0,0.0
106,Philippines,PHL,6.523118328704238e-05,0.10784734446170698,0.778282519234921,0.11380060052423355,4.304595851429192e-06,0.0
107,Palau,PLW,0.0,0.0,0.10949086334745763,0.7707395391949152,0.11940545550847458,0.0003641419491525424
108,Papua New Guinea,PNG,4.175218035104816e-07,0.03209657112306476,0.6570640827077291,0.30536751417329955,0.005464734125246938,6.680348856167705e-06
109,Sint Maarten,SXM,0.0,0.0,1.0,0.0,0.0,0.0
110,Seychelles,SYC,0.0,0.23240469208211142,0.7675953079178885,0.0,0.0,0.0
111,Turks and Caicos Islands,TCA,0.0,0.00013361760963905817,0.31325196214555023,0.6861903295707389,0.0004240906740717933,0.0
112,Wallis and Futuna,WLF,0.0,0.0,1.0,0.0,0.0,0.0
113,Samoa,WSM,0.0,0.0,1.0,0.0,0.0,0.0
114,Togo,TGO,0.0,0.0,1.0,0.0,0.0,0.0
115,Thailand,THA,0.0001874777580653792,0.8302925887909256,0.16910082149685085,0.0004191119541581332,0.0,0.0
116,Timor-Leste,TLS,0.0,0.4220331392745186,0.5582624272279445,0.019704433497536946,0.0,0.0
117,Tonga,TON,0.0,0.0,1.0,0.0,0.0,0.0
118,Trinidad and Tobago,TTO,2.2819588334626442e-05,0.46502898087718497,0.5324038154351696,0.0025443840993108484,0.0,0.0
119,British Virgin Islands,VGB,0.0,0.10967741935483871,0.8820276497695853,0.008294930875576038,0.0,0.0
120,"Virgin Islands, U.S.",VIR,0.0,0.27383437717466946,0.7237299930410578,0.0024356297842727907,0.0,0.0
121,South Africa,ZAF,9.39908515571151e-05,0.794254025941475,0.18513064728366438,0.020521335923303467,0.0,0.0
