,Country,Country_Code,c_total,c_avg
0,Angola,AGO,31295825.748359904,1114.2242682947283
1,Anguilla,AIA,2638.792547086631,811.3147786458334
2,United Arab Emirates,ARE,2908453.123790689,394.85737424932665
3,Bahrain,BHR,26588.26593343554,448.2715503351833
4,Bahamas,BHS,155909407.45230433,1041.8876150145315
5,Eritrea,ERI,4955429.775083225,674.001451149965
6,Fiji,FJI,63389442.11160351,1298.2542894122719
7,Belize,BLZ,51122095.746934846,978.0282265344919
8,Brunei,BRN,17845418.466840878,1552.7959715210463
9,New Zealand,NZL,21839670.168872245,735.424891584828
10,Oman,OMN,69729.38830251245,510.58403066944265
11,Pakistan,PAK,64145533.24894646,824.7359904957241
12,China,CHN,20942920.428621817,1012.7188709431971
13,Côte d'Ivoire,CIV,6973810.517424254,1300.2770109175121
14,Cameroon,CMR,262443822.61472723,1331.1959975113562
15,Democratic Republic of the Congo,COD,24108790.446565393,1016.9076251768316
16,Republic of Congo,COG,2419998.246753924,1205.0194022943783
17,Senegal,SEN,115922382.31622222,913.3017898395995
18,Singapore,SGP,838638.1436688519,1200.373742864909
19,Solomon Islands,SLB,76525610.27451672,1455.2240525865197
20,Haiti,HTI,14893189.274185976,990.8423604514661
21,Indonesia,IDN,4449337724.869106,1533.2155652474767
22,India,IND,322979545.3305889,801.0762501097159
23,Jamaica,JAM,11289576.581048839,1155.6997434971433
24,Japan,JPN,1232285.5718900175,1197.3968085274087
25,Kenya,KEN,63761101.21352539,1175.7836714027871
26,Puerto Rico,PRI,9032616.842709085,1100.0557442279983
27,Saint Lucia,LCA,128626.37836088342,795.921045117076
28,Somalia,SOM,4024489.7085732,1158.551863880687
29,Myanmar,MMR,590096006.0217203,1104.1294081670492
30,Martinique,MTQ,2045351.5923007699,1052.0398466707682
31,Mauritius,MUS,297781.74938106985,760.213371674926
32,Malaysia,MYS,805860110.0384079,1542.987587564197
33,Mayotte,MYT,765862.8974391033,1133.8380436273837
34,Nigeria,NGA,1048947633.3682358,1250.0114469351347
35,Nicaragua,NIC,72352136.93937472,975.5755306766166
36,São Tomé and Príncipe,STP,78554.25743613523,1641.0415426587301
37,Suriname,SUR,111878200.80969357,1384.8886304109085
38,French Polynesia,PYF,157660.2167596191,1264.6158027899344
39,Qatar,QAT,159604.92031933976,348.6488326620457
40,Saudi Arabia,SAU,3466447.4015244725,493.0817551083992
41,Tuvalu,TUV,15651.994085740436,1808.1435122282608
42,Taiwan,TWN,158405.84415456164,1014.3666563018243
43,Tanzania,TZA,131784105.87499526,1199.0215213637734
44,United States,USA,336109591.7488723,1456.8829062843465
45,Saint Vincent and the Grenadines,VCT,30082.53309926203,946.4568148688047
46,Venezuela,VEN,350791134.4391927,1233.6893518367422
47,Yemen,YEM,769886.0379572458,533.6181188110955
