,Country,Country_Code,0-700,700-1400,1400-2100,2100-2800,2800-3500,3500-
0,Angola,AGO,1.0,0.0,0.0,0.0,0.0,0.0
1,Anguilla,AIA,1.0,0.0,0.0,0.0,0.0,0.0
2,United Arab Emirates,ARE,1.0,0.0,0.0,0.0,0.0,0.0
3,Bahrain,BHR,1.0,0.0,0.0,0.0,0.0,0.0
4,Bahamas,BHS,1.0,0.0,0.0,0.0,0.0,0.0
5,Eritrea,ERI,1.0,0.0,0.0,0.0,0.0,0.0
6,Fiji,FJI,1.0,0.0,0.0,0.0,0.0,0.0
7,Belize,BLZ,1.0,0.0,0.0,0.0,0.0,0.0
8,Brunei,BRN,1.0,0.0,0.0,0.0,0.0,0.0
9,New Zealand,NZL,1.0,0.0,0.0,0.0,0.0,0.0
10,Oman,OMN,1.0,0.0,0.0,0.0,0.0,0.0
11,Pakistan,PAK,1.0,0.0,0.0,0.0,0.0,0.0
12,China,CHN,1.0,0.0,0.0,0.0,0.0,0.0
13,Côte d'Ivoire,CIV,1.0,0.0,0.0,0.0,0.0,0.0
14,Cameroon,CMR,1.0,0.0,0.0,0.0,0.0,0.0
15,Democratic Republic of the Congo,COD,1.0,0.0,0.0,0.0,0.0,0.0
16,Republic of Congo,COG,1.0,0.0,0.0,0.0,0.0,0.0
17,Senegal,SEN,1.0,0.0,0.0,0.0,0.0,0.0
18,Singapore,SGP,1.0,0.0,0.0,0.0,0.0,0.0
19,Solomon Islands,SLB,1.0,0.0,0.0,0.0,0.0,0.0
20,Haiti,HTI,1.0,0.0,0.0,0.0,0.0,0.0
21,Indonesia,IDN,1.0,0.0,0.0,0.0,0.0,0.0
22,India,IND,1.0,0.0,0.0,0.0,0.0,0.0
23,Jamaica,JAM,1.0,0.0,0.0,0.0,0.0,0.0
24,Japan,JPN,1.0,0.0,0.0,0.0,0.0,0.0
25,Kenya,KEN,1.0,0.0,0.0,0.0,0.0,0.0
26,Puerto Rico,PRI,1.0,0.0,0.0,0.0,0.0,0.0
27,Saint Lucia,LCA,1.0,0.0,0.0,0.0,0.0,0.0
28,Somalia,SOM,1.0,0.0,0.0,0.0,0.0,0.0
29,Myanmar,MMR,1.0,0.0,0.0,0.0,0.0,0.0
30,Martinique,MTQ,1.0,0.0,0.0,0.0,0.0,0.0
31,Mauritius,MUS,1.0,0.0,0.0,0.0,0.0,0.0
32,Malaysia,MYS,1.0,0.0,0.0,0.0,0.0,0.0
33,Mayotte,MYT,1.0,0.0,0.0,0.0,0.0,0.0
34,Nigeria,NGA,1.0,0.0,0.0,0.0,0.0,0.0
35,Nicaragua,NIC,1.0,0.0,0.0,0.0,0.0,0.0
36,São Tomé and Príncipe,STP,1.0,0.0,0.0,0.0,0.0,0.0
37,Suriname,SUR,1.0,0.0,0.0,0.0,0.0,0.0
38,French Polynesia,PYF,1.0,0.0,0.0,0.0,0.0,0.0
39,Qatar,QAT,1.0,0.0,0.0,0.0,0.0,0.0
40,Saudi Arabia,SAU,1.0,0.0,0.0,0.0,0.0,0.0
41,Tuvalu,TUV,1.0,0.0,0.0,0.0,0.0,0.0
42,Taiwan,TWN,1.0,0.0,0.0,0.0,0.0,0.0
43,Tanzania,TZA,1.0,0.0,0.0,0.0,0.0,0.0
44,United States,USA,1.0,0.0,0.0,0.0,0.0,0.0
45,Saint Vincent and the Grenadines,VCT,1.0,0.0,0.0,0.0,0.0,0.0
46,Venezuela,VEN,1.0,0.0,0.0,0.0,0.0,0.0
47,Yemen,YEM,1.0,0.0,0.0,0.0,0.0,0.0
48,Aruba,ABW,1.0,0.0,0.0,0.0,0.0,0.0
49,Costa Rica,CRI,1.0,0.0,0.0,0.0,0.0,0.0
50,Cuba,CUB,1.0,0.0,0.0,0.0,0.0,0.0
51,Curaçao,CUW,1.0,0.0,0.0,0.0,0.0,0.0
52,American Samoa,ASM,1.0,0.0,0.0,0.0,0.0,0.0
53,French Southern Territories,ATF,1.0,0.0,0.0,0.0,0.0,0.0
54,Panama,PAN,1.0,0.0,0.0,0.0,0.0,0.0
55,Antigua and Barbuda,ATG,1.0,0.0,0.0,0.0,0.0,0.0
56,Australia,AUS,1.0,0.0,0.0,0.0,0.0,0.0
57,Benin,BEN,1.0,0.0,0.0,0.0,0.0,0.0
58,"Bonaire, Sint Eustatius and Saba",BES,1.0,0.0,0.0,0.0,0.0,0.0
59,Bangladesh,BGD,1.0,0.0,0.0,0.0,0.0,0.0
60,Egypt,EGY,1.0,0.0,0.0,0.0,0.0,0.0
61,Micronesia,FSM,1.0,0.0,0.0,0.0,0.0,0.0
62,Gabon,GAB,1.0,0.0,0.0,0.0,0.0,0.0
63,Ghana,GHA,1.0,0.0,0.0,0.0,0.0,0.0
64,Mozambique,MOZ,1.0,0.0,0.0,0.0,0.0,0.0
65,Bermuda,BMU,1.0,0.0,0.0,0.0,0.0,0.0
66,Brazil,BRA,1.0,0.0,0.0,0.0,0.0,0.0
