,Country,Country_Code,0-250,250-500,500-750,750-1000,1000-1250,1250-
0,Angola,AGO,0.03657762055641696,0.9249571563907053,0.03846522305287771,0.0,0.0,0.0
1,Anguilla,AIA,0.05,0.95,0.0,0.0,0.0,0.0
2,United Arab Emirates,ARE,0.0476082792380547,0.9288070660849207,0.023584654677024582,0.0,0.0,0.0
3,Bahrain,BHR,0.03614457831325301,0.963855421686747,0.0,0.0,0.0,0.0
4,Bahamas,BHS,1.3481740330895835e-06,0.07360827994564162,0.9250213011497228,0.001369070730602472,0.0,0.0
5,Eritrea,ERI,0.04307470884551556,0.8894273839420775,0.06685171314858057,0.00064619406382635,0.0,0.0
6,Fiji,FJI,0.001549159266547793,0.857302378981762,0.1411484617516902,0.0,0.0,0.0
7,Belize,BLZ,0.014076031698423568,0.934103723489543,0.05182024481203348,0.0,0.0,0.0
8,Brunei,BRN,0.0,0.7422104795129626,0.2577895204870374,0.0,0.0,0.0
9,New Zealand,NZL,0.15934198705040428,0.830614331298987,0.010043681650608755,0.0,0.0,0.0
10,Oman,OMN,0.125,0.875,0.0,0.0,0.0,0.0
11,Pakistan,PAK,0.46269305391935883,0.5373057007723402,1.2453083009760727e-06,0.0,0.0,0.0
12,China,CHN,0.4650565472135168,0.5347935686060771,0.00014988418040604986,0.0,0.0,0.0
13,Côte d'Ivoire,CIV,0.21149262257943777,0.7882512853850245,0.0002560920355376948,0.0,0.0,0.0
14,Cameroon,CMR,0.002465473727403738,0.9688090629766134,0.028725463295982915,0.0,0.0,0.0
15,Democratic Republic of the Congo,COD,0.0002434696488259811,0.9644699376882763,0.0352865926628977,0.0,0.0,0.0
16,Republic of Congo,COG,0.0,1.0,0.0,0.0,0.0,0.0
17,Senegal,SEN,0.11457400985108838,0.8851828115059582,0.0002431786429533497,0.0,0.0,0.0
18,Singapore,SGP,0.0,0.4045425667090216,0.5954574332909784,0.0,0.0,0.0
19,Solomon Islands,SLB,0.00027809529654548106,0.6342663270707551,0.36545174183550566,3.835797193730773e-06,0.0,0.0
20,Haiti,HTI,0.02760701160314165,0.731192765337042,0.2412002230598163,0.0,0.0,0.0
21,Indonesia,IDN,0.005101263183536586,0.6116020236587345,0.3829080011429967,0.0003887120147321148,0.0,0.0
22,India,IND,0.7800950582986713,0.21132718370604578,0.008577757995282898,0.0,0.0,0.0
23,Jamaica,JAM,0.01688756922535968,0.8665208091187013,0.11659162165593898,0.0,0.0,0.0
24,Japan,JPN,0.07609602372787098,0.9238112892761146,9.268699601445917e-05,0.0,0.0,0.0
25,Kenya,KEN,0.048966837173232886,0.891935255893555,0.059097906933212103,0.0,0.0,0.0
26,Puerto Rico,PRI,0.011357451286331144,0.8339199535541928,0.15472259515947603,0.0,0.0,0.0
27,Saint Lucia,LCA,0.005861664712778429,0.9917936694021102,0.0023446658851113715,0.0,0.0,0.0
28,Somalia,SOM,0.15715081669159262,0.8428491833084074,0.0,0.0,0.0,0.0
29,Myanmar,MMR,0.387601697391508,0.6119621407434354,0.00043616186505660243,0.0,0.0,0.0
30,Martinique,MTQ,0.0015858399836300389,0.8063228974831185,0.19209126253325148,0.0,0.0,0.0
31,Mauritius,MUS,0.0030303030303030303,0.996969696969697,0.0,0.0,0.0,0.0
32,Malaysia,MYS,0.0012613660985156434,0.6973907523682268,0.3013191319059556,2.874962730201693e-05,0.0,0.0
33,Mayotte,MYT,0.01051555425733898,0.9883160508251789,0.0011683949174821088,0.0,0.0,0.0
34,Nigeria,NGA,0.000405191287283324,0.9328458275339107,0.06674898117880598,0.0,0.0,0.0
35,Nicaragua,NIC,0.04073101036151483,0.9181081464698809,0.041160843168604265,0.0,0.0,0.0
36,São Tomé and Príncipe,STP,0.0,1.0,0.0,0.0,0.0,0.0
37,Suriname,SUR,0.2588752534679375,0.7393248916366433,0.0017998548954192841,0.0,0.0,0.0
38,French Polynesia,PYF,0.0,1.0,0.0,0.0,0.0,0.0
39,Qatar,QAT,0.041917410251089436,0.9443868022411289,0.013695787507781698,0.0,0.0,0.0
40,Saudi Arabia,SAU,0.157365150075544,0.8341147334153673,0.008520116509088644,0.0,0.0,0.0
41,Tuvalu,TUV,0.0,1.0,0.0,0.0,0.0,0.0
42,Taiwan,TWN,0.18675123326286117,0.8132487667371389,0.0,0.0,0.0,0.0
43,Tanzania,TZA,0.21155414363721423,0.7849278744362446,0.003517981926541209,0.0,0.0,0.0
44,United States,USA,0.0006891485886155107,0.3200160651374248,0.6792649299849574,2.98562890023337e-05,0.0,0.0
45,Saint Vincent and the Grenadines,VCT,0.029605263157894735,0.9703947368421053,0.0,0.0,0.0,0.0
46,Venezuela,VEN,0.024001277304858553,0.9746044020493271,0.0013943206458143593,0.0,0.0,0.0
47,Yemen,YEM,0.17182455311441847,0.8281754468855815,0.0,0.0,0.0,0.0
48,Aruba,ABW,0.0,0.8254716981132075,0.17452830188679244,0.0,0.0,0.0
49,Costa Rica,CRI,0.036953037258344146,0.96260808409024,0.0004388786514158607,0.0,0.0,0.0
50,Cuba,CUB,0.006249407627694865,0.7164662330615861,0.2772774912260218,6.868084697220486e-06,0.0,0.0
51,Curaçao,CUW,0.0,1.0,0.0,0.0,0.0,0.0
52,American Samoa,ASM,0.0,1.0,0.0,0.0,0.0,0.0
53,French Southern Territories,ATF,0.0,1.0,0.0,0.0,0.0,0.0
54,Panama,PAN,0.0044834171494048,0.9487160226621681,0.046800560188427015,0.0,0.0,0.0
55,Antigua and Barbuda,ATG,0.005186049526772981,0.8695708544016595,0.12524309607156747,0.0,0.0,0.0
56,Australia,AUS,0.2191432912582981,0.7306010053779985,0.05025370388476763,1.9994789357893335e-06,0.0,0.0
57,Benin,BEN,0.0002627602969191355,0.9997372397030808,0.0,0.0,0.0,0.0
58,"Bonaire, Sint Eustatius and Saba",BES,0.0,0.16815144766146994,0.8318485523385301,0.0,0.0,0.0
59,Bangladesh,BGD,0.9979999786071089,0.002000021392891142,0.0,0.0,0.0,0.0
60,Egypt,EGY,0.5400115141047783,0.4599884858952216,0.0,0.0,0.0,0.0
61,Micronesia,FSM,0.0,0.9268624372553789,0.0731375627446211,0.0,0.0,0.0
62,Gabon,GAB,6.112146780426684e-05,0.8755311316639764,0.12440774686821934,0.0,0.0,0.0
63,Ghana,GHA,0.3210931065436475,0.6789068934563526,0.0,0.0,0.0,0.0
64,Mozambique,MOZ,0.7656770543826577,0.2341830730369644,0.0001398725803779602,0.0,0.0,0.0
65,Bermuda,BMU,0.0,0.0,1.0,0.0,0.0,0.0
66,Brazil,BRA,0.15532719691459015,0.8389016887078544,0.005771022982918068,9.139463738309369e-08,0.0,0.0
67,Barbados,BRB,0.03260869565217391,0.967391304347826,0.0,0.0,0.0,0.0
68,Guyana,GUY,0.06358248075176101,0.9359446901666443,0.00047282908159466264,0.0,0.0,0.0
69,Mauritania,MRT,0.07195813344962931,0.9280418665503707,0.0,0.0,0.0,0.0
70,Cook Islands,COK,0.0,1.0,0.0,0.0,0.0,0.0
71,Colombia,COL,0.00014614337546399605,0.7915764133404667,0.2082774432840693,0.0,0.0,0.0
72,Comoros,COM,0.0,0.9898270600203459,0.01017293997965412,0.0,0.0,0.0
73,Cayman Islands,CYM,0.0,0.1310429652483896,0.8689570347516105,0.0,0.0,0.0
74,Djibouti,DJI,0.14674761491760624,0.8532523850823938,0.0,0.0,0.0,0.0
75,Dominica,DMA,0.0,1.0,0.0,0.0,0.0,0.0
76,Dominican Republic,DOM,0.03292685955544518,0.7900161430522786,0.17705699739227618,0.0,0.0,0.0
77,Ecuador,ECU,0.027173161606046766,0.9355205657950417,0.03728253021218711,2.374238672437463e-05,0.0,0.0
78,Guinea,GIN,0.5281855440408117,0.4718103451819636,4.110777224649865e-06,0.0,0.0,0.0
79,Guadeloupe,GLP,5.602711712468835e-05,0.5206039723226041,0.47934000056027115,0.0,0.0,0.0
80,Gambia,GMB,0.656231610194981,0.3437585819090089,9.807896010147902e-06,0.0,0.0,0.0
81,Guinea-Bissau,GNB,0.22980551095273738,0.7577356358476867,0.012458853199575948,0.0,0.0,0.0
