,Country,Country_Code,c_total,c_avg
0,Angola,AGO,10181286.596221082,383.2122098077271
1,Anguilla,AIA,704.608345323542,389.95
2,United Arab Emirates,ARE,2425200.8168160534,372.79050494838776
3,Bahrain,BHR,18684.793105956465,329.2484939759036
4,Bahamas,BHS,74039227.94847356,578.6853267434586
5,Eritrea,ERI,2203888.079661622,352.073093360356
6,Fiji,FJI,20179244.5003156,436.80269844671227
7,Belize,BLZ,17364233.59339119,361.0331660130423
8,Brunei,BRN,5160125.533228583,466.1658885696696
9,New Zealand,NZL,8591019.288802188,344.8799745964869
10,Oman,OMN,25333.775420161808,302.0
11,Pakistan,PAK,17185433.31814169,247.00696749994395
12,China,CHN,3187114.9841665565,244.50190761684152
13,Côte d'Ivoire,CIV,1418417.841791592,295.2529992317239
14,Cameroon,CMR,73672045.33386056,384.54880743152216
15,Democratic Republic of the Congo,COD,9480185.0814181,414.09222960425865
16,Republic of Congo,COG,803042.8657405823,416.0
17,Senegal,SEN,34552321.49188532,292.9684542388783
18,Singapore,SGP,303406.89991915977,507.52954256670904
19,Solomon Islands,SLB,23844525.4172438,486.5942858129205
20,Haiti,HTI,5797782.057948748,433.84637091085
21,Indonesia,IDN,1292951154.7223694,481.3564543143277
22,India,IND,68036618.04424499,192.882485073596
23,Jamaica,JAM,3754912.0201932103,405.4522723499018
24,Japan,JPN,334576.2956024229,358.18620817499306
25,Kenya,KEN,18150839.24196409,365.48793974840413
26,Puerto Rico,PRI,3168681.739095787,424.3384012482311
27,Saint Lucia,LCA,67945.1300251159,431.4917936694021
28,Somalia,SOM,975167.5456721592,302.3323362951233
29,Myanmar,MMR,122562604.25790007,271.3866958227487
30,Martinique,MTQ,822653.5865512667,457.40418457131165
31,Mauritius,MUS,112033.27341744723,345.79641873278234
32,Malaysia,MYS,232342722.46062905,467.3248229993972
33,Mayotte,MYT,237116.00850386792,373.7134511464875
34,Nigeria,NGA,329821821.0131837,409.3465680943924
35,Nicaragua,NIC,25225200.011256453,365.4185902019545
36,São Tomé and Príncipe,STP,21157.890827173396,442.0
37,Suriname,SUR,17670268.633508652,289.9336642627261
38,French Polynesia,PYF,47859.24291041169,415.0
39,Qatar,QAT,155704.11217456666,376.795393235111
40,Saudi Arabia,SAU,1865414.6800923813,330.13333125652247
41,Tuvalu,TUV,4154.9605782560375,480.0
42,Taiwan,TWN,37641.52927695819,307.37138830162087
43,Tanzania,TZA,30191386.919473782,296.5950983093346
44,United States,USA,105582030.01288293,503.1864913788943
45,Saint Vincent and the Grenadines,VCT,9821.847822418593,348.70394736842104
46,Venezuela,VEN,88675689.6981956,334.0742965659391
47,Yemen,YEM,365648.6414425651,314.4086935979211
48,Aruba,ABW,15979.966350212842,406.1509433962264
49,Costa Rica,CRI,11449846.317629162,332.99440634166024
50,Cuba,CUB,150461358.2547208,468.5753128069175
