,Country,Country_Code,c_total,c_avg
0,Angola,AGO,11804164.36976973,444.31999740986873
1,Anguilla,AIA,707.1406470606335,391.3514404296875
2,United Arab Emirates,ARE,2448636.127400248,376.39028772060016
3,Bahrain,BHR,18956.032288328795,334.0278614457831
4,Bahamas,BHS,74736980.89424996,584.1227613267368
5,Eritrea,ERI,2364818.346228265,377.79115471391225
6,Fiji,FJI,22637548.09331967,490.03725821898075
7,Belize,BLZ,17762135.98122119,369.29975421442697
8,Brunei,BRN,6378173.897091454,576.2048628924687
9,New Zealand,NZL,9757256.685944881,391.7353655337061
10,Oman,OMN,26312.229314590542,313.5724670410156
11,Pakistan,PAK,17696212.570387438,254.35110576372267
12,China,CHN,3506151.555049845,268.9921754709429
13,Côte d'Ivoire,CIV,1603499.0498277743,333.78313490817624
14,Cameroon,CMR,91126469.72365785,475.65371365997026
15,Democratic Republic of the Congo,COD,10313464.33211508,450.48971237568605
16,Republic of Congo,COG,1001115.1697199527,518.6054921315376
17,Senegal,SEN,36079104.61234336,305.91465920082084
18,Singapore,SGP,334272.68071320665,559.1612134688692
19,Solomon Islands,SLB,28073324.06627594,572.8822240647368
20,Haiti,HTI,5904793.645953908,441.8486217699998
21,Indonesia,IDN,1552558280.815381,578.0234614924817
22,India,IND,78759200.31728071,223.1499377924731
23,Jamaica,JAM,3917267.2137291743,422.9828041520565
24,Japan,JPN,389433.1644309769,416.92520141318704
25,Kenya,KEN,19122671.70606403,385.0544198797413
26,Puerto Rico,PRI,3235505.0467847036,433.28575661913226
27,Saint Lucia,LCA,72790.81135632833,462.267557517585
28,Somalia,SOM,1017052.7687382433,315.32363569341805
29,Myanmar,MMR,146387003.49865794,323.90617031062516
30,Martinique,MTQ,867862.6836394325,482.5415899324739
31,Mauritius,MUS,131963.83755450824,407.32690012698004
32,Malaysia,MYS,270501537.1418986,544.0824159547603
33,Mayotte,MYT,282805.1554815406,445.72294435519206
34,Nigeria,NGA,360405709.20156825,447.30779942138685
35,Nicaragua,NIC,26903048.022959907,389.734404333411
36,São Tomé and Príncipe,STP,27340.127813013067,571.1502976190476
37,Suriname,SUR,20531289.282095984,336.87596913213974
38,French Polynesia,PYF,53638.634254912584,465.1364761496944
39,Qatar,QAT,159185.2885935086,385.21814043369994
40,Saudi Arabia,SAU,1912896.4611559801,338.381252617816
41,Tuvalu,TUV,4587.083025099226,529.921238111413
42,Taiwan,TWN,42854.57848053226,349.9431749361346
43,Tanzania,TZA,37962679.58244632,373.0143719500807
44,United States,USA,108503195.57384855,517.1025557185684
45,Saint Vincent and the Grenadines,VCT,10717.345388775822,380.51365902549344
46,Venezuela,VEN,110169756.09973903,415.02989844017304
47,Yemen,YEM,380185.0183319618,326.9163409535815
48,Aruba,ABW,16424.616798021016,417.4521852889151
49,Costa Rica,CRI,13316232.459351286,387.2713066768504
50,Cuba,CUB,154862558.48787528,482.2827469054986
51,Curaçao,CUW,15160.187658968243,338.5577103864108
52,American Samoa,ASM,15456.348157749973,483.5834834293948
53,French Southern Territories,ATF,231662.97138305474,343.4436725375082
54,Panama,PAN,67854724.06016895,459.5727631453307
55,Antigua and Barbuda,ATG,313817.67621082556,448.69590302087386
56,Australia,AUS,329334673.9465929,361.4165256299345
57,Benin,BEN,584653.831429732,406.78011889903433
58,"Bonaire, Sint Eustatius and Saba",BES,92276.97761401397,552.9526726057907
59,Bangladesh,BGD,84632026.01713602,205.3432758288659
60,Egypt,EGY,42434.09568168755,285.8651337390256
61,Micronesia,FSM,4384209.666898313,514.2378546314928
62,Gabon,GAB,90371683.66198194,528.7432090576459
63,Ghana,GHA,3127828.562429961,306.10771922051845
64,Mozambique,MOZ,71835011.09057191,262.36730895075397
65,Bermuda,BMU,10946.576232109586,526.4618459302326
66,Brazil,BRA,373628678.04317147,363.4148177174514
67,Barbados,BRB,3042.1574957463404,357.17043138586956
68,Guyana,GUY,10601420.119688451,419.52569594530445
69,Mauritania,MRT,62731.83518138607,299.5226764371184
70,Cook Islands,COK,1557.965555167946,445.42054787660254
71,Colombia,COL,131031400.50134465,508.9504602658584
72,Comoros,COM,49565.25578063601,542.9896045269583
73,Cayman Islands,CYM,2379275.7431961847,552.5987017657237
74,Djibouti,DJI,184639.1490103128,344.68046942758025
75,Dominica,DMA,581.7548477886918,453.78407505580356
76,Dominican Republic,DOM,8039741.708627239,444.44643548987955
77,Ecuador,ECU,56001765.62378323,412.09300957932203
78,Guinea,GIN,56159860.62618995,274.21859098571645
79,Guadeloupe,GLP,1682658.7297289234,516.5769729424042
80,Gambia,GMB,14897125.558458917,263.38891576978904
81,Guinea-Bissau,GNB,78849285.1457009,316.6693814123428
82,Equatorial Guinea,GNQ,11461684.01230581,457.2166190908579
83,Grenada,GRD,70528.2243730289,402.0663390434754
84,Guatemala,GTM,7390479.2832855005,329.3119211632566
85,French Guiana,GUF,15160827.272149239,324.32153972524196
86,Guam,GUM,22069.53643053735,460.82166988416986
87,Iran,IRN,2829839.5818363004,368.16409310470755
88,Sudan,SDN,185248.5684033537,343.2677783203125
89,Vietnam,VNM,43556716.77521929,280.15175374190875
90,Vanuatu,VUT,698078.7392263837,464.7879652680794
91,Honduras,HND,21600093.490669474,390.79373784823105
