,Country,Country_Code,0-700,700-1400,1400-2100,2100-2800,2800-3500,3500-
0,Angola,AGO,0.0006457587487892024,0.2557169163955308,0.6450100944156061,0.0986165860650939,1.0644374980041797e-05,0.0
1,Anguilla,AIA,0.0,0.35,0.65,0.0,0.0,0.0
2,United Arab Emirates,ARE,0.0005453868255826328,0.5447483239331702,0.45014366287112906,0.004562626370118123,0.0,0.0
3,Bahrain,BHR,0.0,0.8268072289156626,0.17319277108433734,0.0,0.0,0.0
4,Bahamas,BHS,6.740870165447917e-07,0.000887098513772946,0.24835455359261416,0.7497890107638214,0.0009686630427748657,0.0
5,Eritrea,ERI,0.0001909209734032398,0.6319484219647237,0.32475657575891087,0.04220822135083932,0.0008958599521228944,0.0
6,Fiji,FJI,0.0,0.07931970676066473,0.8183433825538716,0.10233691068546366,0.0,0.0
7,Belize,BLZ,5.659085378621107e-06,0.6482953891658697,0.3495598174756329,0.0021391342731187785,0.0,0.0
8,Brunei,BRN,0.0,0.00023086394418222862,0.4427542923592585,0.5569806416307544,3.420206580477461e-05,0.0
9,New Zealand,NZL,0.000157997459648688,0.41590197961522973,0.5818086062145668,0.00213141671055485,0.0,0.0
10,Oman,OMN,0.0020833333333333333,0.921875,0.07604166666666666,0.0,0.0,0.0
11,Pakistan,PAK,0.04422961492576717,0.9476260687858493,0.008144316288383515,0.0,0.0,0.0
12,China,CHN,0.0404959803787982,0.9224553753917427,0.0370282054775855,2.0438751873552255e-05,0.0,0.0
13,Côte d'Ivoire,CIV,0.0007879754939621378,0.7754269842207907,0.22374564151054901,3.939877469810689e-05,0.0,0.0
14,Cameroon,CMR,0.0,0.18033701893723103,0.6342012176582696,0.1813925205229553,0.004069242881544048,0.0
15,Democratic Republic of the Congo,COD,0.0,0.12996739982668262,0.8290719267115091,0.040960673461808275,0.0,0.0
16,Republic of Congo,COG,0.0,0.0,0.7853988813659111,0.2146011186340889,0.0,0.0
17,Senegal,SEN,0.0036892553477729153,0.9334647543934929,0.06283500799743956,1.0982261294667405e-05,0.0,0.0
18,Singapore,SGP,0.0,0.0027001270648030497,0.5862452350698857,0.4110546378653113,0.0,0.0
19,Solomon Islands,SLB,0.0,0.009616343564683048,0.47499060229687534,0.5137973625058496,0.0015956916325920016,0.0
20,Haiti,HTI,0.001451232539858505,0.25062651589973056,0.7241851933968919,0.02373705816351897,0.0,0.0
21,Indonesia,IDN,9.876530319872246e-07,0.018946289205901214,0.4286892112345391,0.5479627769092505,0.004399606250954805,1.1287463222711139e-06
22,India,IND,0.5915662619782154,0.27163164653456734,0.10809632710696361,0.02869578786343939,9.976516814267953e-06,0.0
23,Jamaica,JAM,1.953449303106961e-05,0.31052030122188257,0.6754734672748406,0.013986697010245842,0.0,0.0
24,Japan,JPN,0.0,0.2443229214941144,0.7553990175178422,0.00027806098804337753,0.0,0.0
25,Kenya,KEN,0.001245372828715394,0.5260515951086645,0.44920139512318114,0.02350163693943897,0.0,0.0
26,Puerto Rico,PRI,2.4190524571525334e-05,0.25170240816672107,0.7192326765605912,0.029040724748116163,0.0,0.0
27,Saint Lucia,LCA,0.0,0.07209847596717468,0.9279015240328253,0.0,0.0,0.0
28,Somalia,SOM,0.0041347761062725434,0.9400604087856661,0.055804815108061345,0.0,0.0,0.0
29,Myanmar,MMR,0.019501213831353593,0.7488303440147916,0.23113305092276193,0.0005353912310927898,0.0,0.0
30,Martinique,MTQ,0.0,0.04813791692244731,0.9422958870472683,0.009566196030284429,0.0,0.0
31,Mauritius,MUS,0.0,0.3958677685950413,0.5986225895316805,0.005509641873278237,0.0,0.0
32,Malaysia,MYS,0.0,0.015613332363588731,0.6469886574152524,0.3363906308962915,0.0010071889299845666,1.903948827948141e-07
33,Mayotte,MYT,0.0,0.15568862275449102,0.8002044691105594,0.044106908134949614,0.0,0.0
34,Nigeria,NGA,2.348934998743907e-07,0.1462836853427748,0.8268726854915799,0.026843276825395557,1.1744674993719535e-07,0.0
35,Nicaragua,NIC,0.0005101753878538086,0.4868653270880367,0.4882016920147509,0.02442280550935857,0.0,0.0
36,São Tomé and Príncipe,STP,0.0,0.0,0.4880952380952381,0.5119047619047619,0.0,0.0
37,Suriname,SUR,0.0018944209149029845,0.7396783515127463,0.25816988397834595,0.00025734359400482443,0.0,0.0
38,French Polynesia,PYF,0.0,0.0,1.0,0.0,0.0,0.0
39,Qatar,QAT,0.0,0.4096285536418344,0.58642871965138,0.00394272670678564,0.0,0.0
40,Saudi Arabia,SAU,0.016090092054640893,0.7681656048971199,0.21457609694553045,0.0011682061027086805,0.0,0.0
41,Tuvalu,TUV,0.0,0.0,1.0,0.0,0.0,0.0
42,Taiwan,TWN,0.0021141649048625794,0.6074700493305144,0.390415785764623,0.0,0.0,0.0
43,Tanzania,TZA,0.00045211384023092013,0.5891995643434734,0.4039124027123132,0.006434994535802054,9.245681804313296e-07,0.0
44,United States,USA,3.6809123427534696e-06,0.0353154909968974,0.810059606240537,0.15460159031772816,1.9631532494685172e-05,0.0
45,Saint Vincent and the Grenadines,VCT,0.0,0.5361842105263158,0.45723684210526316,0.006578947368421052,0.0,0.0
