,Country,Country_Code,c_total,c_avg
0,Angola,AGO,43321283.23852257,1630.654401981273
1,Anguilla,AIA,2595.2061948571045,1436.25966796875
2,United Arab Emirates,ARE,8986494.582892247,1381.3523835939993
3,Bahrain,BHR,69568.63845613069,1225.8822477409637
4,Bahamas,BHS,274284717.5358725,2143.7304263588794
5,Eritrea,ERI,8678883.338643514,1386.493433419982
6,Fiji,FJI,83079801.4360929,1798.4366960330472
7,Belize,BLZ,65187038.972989075,1355.3298823228565
8,Brunei,BRN,23407898.209163196,2114.6717820131335
9,New Zealand,NZL,35809132.05315545,1437.6687563896032
10,Oman,OMN,96565.88170436546,1150.8110107421876
11,Pakistan,PAK,64945100.1309123,933.4684740085478
12,China,CHN,12867576.095575595,987.20118842826
13,Côte d'Ivoire,CIV,5884841.511178015,1224.9840434962473
14,Cameroon,CMR,334434144.15582687,1745.649239272569
15,Democratic Republic of the Congo,COD,37850414.09972768,1653.2970742376099
16,Republic of Congo,COG,3674092.698669359,1903.282126999313
17,Senegal,SEN,132410313.89207943,1122.7066496807693
18,Singapore,SGP,1226780.7397170344,2052.121585133418
19,Solomon Islands,SLB,103029099.25505978,2102.477682612715
20,Haiti,HTI,21670592.668482818,1621.584429736158
21,Indonesia,IDN,5697888893.324326,2121.346131263978
22,India,IND,289046265.0790158,818.9602667479927
23,Jamaica,JAM,14376370.667571608,1552.3467873084398
24,Japan,JPN,1429219.7149954264,1530.1154105164983
25,Kenya,KEN,70180205.11371702,1413.1496414777914
26,Puerto Rico,PRI,11874303.5213779,1590.1586883292814
27,Saint Lucia,LCA,267142.27785442123,1696.5219446072686
28,Somalia,SOM,3732583.6478091204,1157.2376980788686
29,Myanmar,MMR,537240302.9216918,1188.7354915694748
30,Martinique,MTQ,3185056.047741787,1770.9276140781665
31,Mauritius,MUS,484307.28376983525,1494.8897694989669
32,Malaysia,MYS,992740641.4585495,1996.7824932161113
33,Mayotte,MYT,1037894.9189573333,1635.8031254564044
34,Nigeria,NGA,1322688954.329093,1641.6194001976864
35,Nicaragua,NIC,98734186.2218024,1430.3251889389692
36,São Tomé and Príncipe,STP,100338.26813725948,2096.121527777778
37,Suriname,SUR,75349831.66058418,1236.3347617469212
38,French Polynesia,PYF,196853.79018453605,1707.0509568464117
39,Qatar,QAT,584210.0089130483,1413.7506030815523
40,Saudi Arabia,SAU,7020330.012773944,1241.859241340794
41,Tuvalu,TUV,16834.594893677353,1944.8110563858695
42,Taiwan,TWN,157276.303358194,1284.2914739693447
43,Tanzania,TZA,139323033.96498522,1368.9626825791015
44,United States,USA,398206728.3421731,1897.766225440039
45,Saint Vincent and the Grenadines,VCT,39332.657535702805,1396.485043174342
46,Venezuela,VEN,404323004.95260644,1523.1595426433714
47,Yemen,YEM,1395279.014450219,1199.7829837271881
48,Aruba,ABW,60278.343865469375,1532.0495283018868
49,Costa Rica,CRI,48870573.151959546,1421.2856458569584
50,Cuba,CUB,568345589.2449368,1769.9776257889712
51,Curaçao,CUW,55637.889460977225,1242.5067751556016
52,American Samoa,ASM,56724.79819798749,1774.75144092219
53,French Southern Territories,ATF,850203.1151814706,1260.4383561643835
54,Panama,PAN,249026837.3524806,1686.6321239814756
55,Antigua and Barbuda,ATG,1151710.8715087262,1646.7138597173603
56,Australia,AUS,1208658253.2606237,1326.3986433654431
57,Benin,BEN,2145679.5474207336,1492.8829074426853
58,"Bonaire, Sint Eustatius and Saba",BES,338656.5084942751,2029.336302895323
59,Bangladesh,BGD,310599535.51956,753.6101681247259
60,Egypt,EGY,155733.1314475704,1049.1250764608521
61,Micronesia,FSM,16090049.493416032,1887.2528345642704
62,Gabon,GAB,331664078.9427826,1940.4876387387862
63,Ghana,GHA,11479130.823117219,1123.4152864407406
64,Mozambique,MOZ,263634490.6865784,962.8880092246462
65,Bermuda,BMU,40173.93474469568,1932.1148255813953
66,Brazil,BRA,1371217248.8803754,1333.732345102255
67,Barbados,BRB,11164.717976530801,1310.8155570652175
68,Guyana,GUY,38907211.84342993,1539.659054223164
69,Mauritania,MRT,230225.83791420277,1099.2482172304296
70,Cook Islands,COK,5717.733664529113,1634.693359375
71,Colombia,COL,480885240.2235296,1867.8481800399177
72,Comoros,COM,181904.48876925136,1992.771776449644
73,Cayman Islands,CYM,8731941.97555417,2028.037036940524
74,Djibouti,DJI,677625.6778581575,1264.9773200346922
75,Dominica,DMA,2135.0402881428668,1665.3875558035713
76,Dominican Republic,DOM,29505852.06398172,1631.1182702098597
77,Ecuador,ECU,205526480.12918094,1512.3813484316147
78,Guinea,GIN,206106688.45888335,1006.3820045360143
79,Guadeloupe,GLP,6175357.537443813,1895.837566882371
80,Gambia,GMB,54672450.801146954,966.637251696766
81,Guinea-Bissau,GNB,289376876.3544754,1162.1764327298158
82,Equatorial Guinea,GNQ,42064380.29850736,1677.9849890436851
83,Grenada,GRD,258838.58332086884,1475.5833919236368
84,Guatemala,GTM,27123058.973051805,1208.5747315182764
85,French Guiana,GUF,55640236.10918243,1190.2600134338218
86,Guam,GUM,80995.19947933964,1691.2154922779923
87,Iran,IRN,10385511.267819118,1351.162297282717
88,Sudan,SDN,679862.2518709588,1259.79275
89,Vietnam,VNM,159853150.59192255,1028.1569952216303
90,Vanuatu,VUT,2561948.9736499013,1705.7719806909952
91,Honduras,HND,79272343.10242864,1434.213036665407
92,Sierra Leone,SLE,161871700.77817503,1115.108593733797
93,El Salvador,SLV,42924693.93991396,1188.9168457808053
94,Liberia,LBR,18757738.729753092,1095.9843227009114
95,Sri Lanka,LKA,17313248.770531308,1362.643132137668
96,Cambodia,KHM,70212599.89989537,1214.422959019949
97,Kiribati,KIR,258482.03127671784,1746.860827323718
98,Saint Kitts and Nevis,KNA,35685.94351039349,1346.1821489726028
99,Saint-Martin,MAF,2065.9601789524013,1632.3111049107142
100,Madagascar,MDG,294420763.1747482,1137.5386131758114
101,Maldives,MDV,160826.95751572942,1685.5777082688737
102,Mexico,MEX,1101496184.7100725,1210.8845719119447
103,Marshall Islands,MHL,57740.77759799514,1775.8639171511627
104,New Caledonia,NCL,39328318.72365622,1325.9189349841924
105,Peru,PER,5569629.110734763,1338.9994576087204
106,Philippines,PHL,439414421.4241353,1781.7210162817878
107,Palau,PLW,13266937.858345764,2414.499224482667
108,Papua New Guinea,PNG,854221700.5365046,1968.3322098845058
109,Sint Maarten,SXM,9647.951357462525,1641.4248798076924
110,Seychelles,SYC,573810.3885378786,1503.9169433113395
111,Turks and Caicos Islands,TCA,21144765.885875568,2156.3114542882627
112,Wallis and Futuna,WLF,46432.075317886956,1684.4958053691275
113,Samoa,WSM,379929.72856935184,1775.737844976283
114,Togo,TGO,29482.741395640354,1515.692354368932
115,Thailand,THA,282846176.6967221,1244.8331352352402
116,Timor-Leste,TLS,1353757.814221921,1461.1636617422612
117,Tonga,TON,1585948.4178004581,1677.1326593137255
118,Trinidad and Tobago,TTO,11025736.612031033,1456.145955964016
119,British Virgin Islands,VGB,103976.01091915768,1664.7878787878788
120,"Virgin Islands, U.S.",VIR,317129.8873235437,1562.4807928189116
121,South Africa,ZAF,2615801.3400859674,1244.524158085337
