,Country,Country_Code,c_total,c_avg
0,Angola,AGO,1622877.9020687514,61.10781133022754
1,Anguilla,AIA,2.532300379870567,1.4014067649841309
2,United Arab Emirates,ARE,23435.289881270775,3.5997987600816264
3,Bahrain,BHR,271.2390607118875,4.779370043651167
4,Bahamas,BHS,697753.3883991215,5.43738741005446
5,Eritrea,ERI,160930.25253209416,25.71804265873289
6,Fiji,FJI,2458303.4852323197,53.23453927438743
7,Belize,BLZ,397902.3151447089,8.26653677707137
8,Brunei,BRN,1218048.3026059978,110.03902749632327
9,New Zealand,NZL,1166237.3057112535,46.85537802489622
10,Oman,OMN,978.4536947797928,11.572475306193034
11,Pakistan,PAK,510779.0122246498,7.344109044030132
12,China,CHN,319036.5564873008,24.4902480374274
13,Côte d'Ivoire,CIV,185081.22380910174,38.53012489373104
14,Cameroon,CMR,17454425.15168594,91.10494525357993
15,Democratic Republic of the Congo,COD,833279.304994625,36.39746420170842
16,Republic of Congo,COG,198072.3068606223,102.60548082407271
17,Senegal,SEN,1526783.9784248201,12.946163466675554
18,Singapore,SGP,30865.777536678776,51.631644843948536
19,Solomon Islands,SLB,4228798.4870819375,86.2879309772868
20,Haiti,HTI,107011.55770700886,8.002243091508747
21,Indonesia,IDN,259607120.2342925,96.66700675980861
22,India,IND,10722582.707588427,30.26744602690445
23,Jamaica,JAM,162355.1733555391,17.530507116965218
24,Japan,JPN,54856.866524464895,58.73897165045127
25,Kenya,KEN,971832.4040258022,19.566455718114064
26,Puerto Rico,PRI,66823.29383674084,8.947345637994847
27,Saint Lucia,LCA,4845.681025585255,30.77575239961899
28,Somalia,SOM,41885.220325631686,12.991287966172495
29,Myanmar,MMR,23824397.95437055,52.519451016931974
30,Martinique,MTQ,45209.09292672734,25.137384578985063
31,Mauritius,MUS,19930.563974842746,61.5304988640399
32,Malaysia,MYS,38158812.54182112,76.75758855443378
33,Mayotte,MYT,45689.14953536168,72.00946582444867
34,Nigeria,NGA,30583889.93974275,37.96119374885159
35,Nicaragua,NIC,1677847.924224874,24.315791106193476
36,São Tomé and Príncipe,STP,6182.236864828968,129.15032087053572
37,Suriname,SUR,2861020.570249952,46.94231193293013
38,French Polynesia,PYF,5779.391167540956,50.13646960333695
39,Qatar,QAT,3481.1740319846126,8.422734602726107
40,Saudi Arabia,SAU,47481.767553879916,8.24792135976352
41,Tuvalu,TUV,432.1224375026627,49.92128057065217
42,Taiwan,TWN,5213.048949183072,42.57179351656096
43,Tanzania,TZA,7771292.746576535,76.41926491513388
44,United States,USA,2921165.1091101817,13.916023385620768
45,Saint Vincent and the Grenadines,VCT,895.4975065016747,31.809674714740954
46,Venezuela,VEN,21494066.308202527,80.9555443794117
47,Yemen,YEM,14536.371733185646,12.507649638651111
48,Aruba,ABW,444.65040218458967,11.301247650722289
49,Costa Rica,CRI,1866386.0844606692,54.276894072682715
50,Cuba,CUB,4401199.41591087,13.707411517405122
51,Curaçao,CUW,653.3660329912424,14.59090262132067
52,American Samoa,ASM,2192.139348503698,68.58352282961096
53,French Southern Territories,ATF,51563.385461316946,76.44365622961513
54,Panama,PAN,10603439.072819026,71.80917253936587
55,Antigua and Barbuda,ATG,6685.301900096378,9.561944930636587
56,Australia,AUS,48071820.19323766,52.68796477930881
57,Benin,BEN,12343.07909133431,8.587738331800566
58,"Bonaire, Sint Eustatius and Saba",BES,2908.9789528579463,17.431500339295656
59,Bangladesh,BGD,32079434.0191953,77.8432797223094
60,Egypt,EGY,3064.7347459261873,20.818507025965207
61,Micronesia,FSM,752510.467603452,88.24815653124516
62,Gabon,GAB,13996490.553690229,81.89033645501391
63,Ghana,GHA,388890.473002091,38.040203665774456
64,Mozambique,MOZ,9860783.670965128,36.011821559666174
65,Bermuda,BMU,446.2519502379549,21.461785368217054
66,Brazil,BRA,40878778.115705796,39.471353080395886
67,Barbados,BRB,172.53919670487818,20.257387907608695
68,Guyana,GUY,1638305.9553308678,64.84104979992459
69,Mauritania,MRT,2128.434972298844,10.162013490180287
70,Cook Islands,COK,106.16687534647305,30.420530661558495
71,Colombia,COL,14129045.117563441,54.78627672016711
72,Comoros,COM,12345.182532702616,135.2652658674021
73,Cayman Islands,CYM,71429.37032180466,16.589574797818642
74,Djibouti,DJI,19881.496425329482,37.12261491760624
75,Dominica,DMA,15.381979024649159,11.998345511300224
76,Dominican Republic,DOM,360753.90405464004,19.943350420650688
77,Ecuador,ECU,5251747.8364863545,38.644293670053976
78,Guinea,GIN,5444677.683502584,26.580175636195232
79,Guadeloupe,GLP,49377.096650693566,15.157606523744992
80,Gambia,GMB,1422107.4526858614,25.14662477605304
81,Guinea-Bissau,GNB,7961737.313527774,31.97284494070685
82,Equatorial Guinea,GNQ,1271008.5670827972,50.70094348958925
83,Grenada,GRD,5054.6962529944,28.810611949009893
84,Guatemala,GTM,916963.8404554871,40.859364480360604
85,French Guiana,GUF,3310622.4926120914,70.81449527269848
86,Guam,GUM,2194.503306144004,45.82166234314672
87,Iran,IRN,77344.06655390686,10.062978842907333
88,Sudan,SDN,3743.2345741300514,6.92925749206543
89,Vietnam,VNM,5164633.52946213,33.20193455181351
90,Vanuatu,VUT,81785.80523272972,54.45438019916206
91,Honduras,HND,1314676.8783805415,23.764912940419027
92,Sierra Leone,SLE,4243122.105963886,29.229692236454206
93,El Salvador,SLV,1178109.30369069,32.62993807432874
94,Liberia,LBR,278559.5370771567,16.282928404430105
95,Sri Lanka,LKA,244473.0293119652,19.230882939890275
96,Cambodia,KHM,2821383.0184515635,48.798685680928706
97,Kiribati,KIR,9023.619435408962,60.98387623322316
98,Saint Kitts and Nevis,KNA,160.76187814492584,6.063984910102739
99,Saint-Martin,MAF,4.773470360221665,3.7714127131870816
100,Madagascar,MDG,16469167.542003082,63.398821655493904
101,Maldives,MDV,4414.856831399669,46.28547937374304
102,Mexico,MEX,10970772.983660808,11.984976725135155
103,Marshall Islands,MHL,2239.7716494519095,68.88660661564317
104,New Caledonia,NCL,1136406.8110701686,38.3137973797084
105,Peru,PER,79324.39090224386,19.070132121178155
106,Philippines,PHL,11396856.832037449,46.2205995208642
107,Palau,PLW,478333.3559398921,87.0566713895315
108,Papua New Guinea,PNG,47526736.05380215,109.5482862248815
109,Sint Maarten,SXM,36.76437765121289,6.254702993539664
110,Seychelles,SYC,23525.229023378473,61.708179166149286
111,Turks and Caicos Islands,TCA,62232.58942281431,6.345849870257413
112,Wallis and Futuna,WLF,1212.571982975027,43.99065383808725
113,Samoa,WSM,14731.087590118255,68.85226154862009
114,Togo,TGO,213.87533327718728,10.995207258798544
115,Thailand,THA,12511659.089057432,55.04290180019642
116,Timor-Leste,TLS,69551.2996482834,75.08990851442965
117,Tonga,TON,39705.11463702503,41.98438015530731
118,Trinidad and Tobago,TTO,297820.6620255211,39.32942198577253
119,British Virgin Islands,VGB,335.51658399018146,5.3681365834686146
120,"Virgin Islands, U.S.",VIR,2334.4335051900453,11.503661456010258
121,South Africa,ZAF,157500.32518897465,75.07519251695993
